Dataset x,Dataset y
3.108628393545E0,1.970800538266E1
3.203379991562E0,1.998505684297E1
3.331931867234E0,4.013065588554E1
3.453636614058E0,9.979566680238E1
3.521210783514E0,1.527124957217E2
3.602320895544E0,2.056689034210E2
3.663127093713E0,2.585659429503E2
3.730767227802E0,2.785334374826E2
3.832220832473E0,3.117796127199E2
3.960812286924E0,3.121556111303E2
4.069099827515E0,3.124722413706E2
4.109641690603E0,3.455403120977E2
4.156872367418E0,4.181673734791E2
4.217612600954E0,5.040137473952E2
4.271571670276E0,5.964301987988E2
4.332166781618E0,7.547651083661E2
4.392709121253E0,9.394594854431E2
4.439728711241E0,1.117524416863E3
4.486721915376E0,1.308769082037E3
4.560694654171E0,1.546221972913E3
4.627886228753E0,1.790244941276E3
4.695064610409E0,2.040857776517E3
4.762308956698E0,2.258521277371E3
4.809170231566E0,2.515664611319E3
4.869527870227E0,2.792617124679E3
4.916349566315E0,3.069530059259E3
4.942959699029E0,3.300254557528E3
4.956218590143E0,3.438681340733E3
